ts,value
2016-07-10 01:12:27,29544
2016-07-10 01:13:28,29544
2016-07-10 01:14:29,29544
2016-07-10 01:15:29,29544
2016-07-10 01:16:30,29544
2016-07-10 01:17:31,29544
2016-07-10 01:18:31,29544
2016-07-10 01:19:32,29544
2016-07-10 01:20:33,29545
2016-07-10 01:21:33,29546
2016-07-10 01:22:34,29546
2016-07-10 01:23:35,29547
2016-07-10 01:24:35,29547
2016-07-10 01:25:36,29548
2016-07-10 01:26:36,29548
2016-07-10 01:27:38,29549
2016-07-10 01:28:38,29549
2016-07-10 01:29:38,29550
2016-07-10 01:30:39,29550
2016-07-10 01:31:40,29551
2016-07-10 01:32:41,29551
2016-07-10 01:33:41,29551
2016-07-10 01:34:43,29551
2016-07-10 01:35:42,29551
2016-07-10 01:36:43,29551
2016-07-10 01:37:44,29551
2016-07-10 01:38:44,29551
2016-07-10 01:39:45,29551
2016-07-10 01:40:49,29551
2016-07-10 01:41:48,29551
2016-07-10 01:42:48,29551
2016-07-10 01:43:49,29551
2016-07-10 01:44:50,29551
2016-07-10 01:45:50,29551
2016-07-10 01:46:51,29551
2016-07-10 01:47:52,29551
2016-07-10 01:48:52,29551
2016-07-10 01:49:53,29551
2016-07-10 01:50:54,29551
2016-07-10 01:51:54,29551
2016-07-10 01:52:55,29551
2016-07-10 01:53:55,29551
2016-07-10 01:54:56,29551
2016-07-10 01:55:57,29551
2016-07-10 01:56:57,29551
2016-07-10 01:57:58,29551
2016-07-10 01:58:59,29551
2016-07-10 01:59:59,29551
2016-07-10 02:01:00,29551
2016-07-10 02:02:01,29551
2016-07-10 02:03:01,29551
2016-07-10 02:04:02,29551
2016-07-10 02:05:02,29551
2016-07-10 02:06:03,29551
2016-07-10 02:07:04,29551
2016-07-10 02:08:04,29551
2016-07-10 02:09:05,29551
2016-07-10 02:10:06,29551
2016-07-10 02:11:06,29551
2016-07-10 02:12:07,29553
2016-07-10 02:13:08,29554
2016-07-10 02:14:10,29556
2016-07-10 02:15:10,29556
2016-07-10 02:16:11,29557
2016-07-10 02:17:11,29558
2016-07-10 02:18:12,29559
2016-07-10 02:19:12,29561
2016-07-10 02:20:13,29562
2016-07-10 02:21:14,29562
2016-07-10 02:22:14,29563
2016-07-10 02:23:15,29563
2016-07-10 02:24:16,29564
2016-07-10 02:25:16,29564
2016-07-10 02:26:26,29565
2016-07-10 02:27:27,29565
2016-07-10 02:28:27,29566
2016-07-10 02:29:28,29566
2016-07-10 02:30:29,29567
2016-07-10 02:31:31,29567
2016-07-10 02:32:30,29568
2016-07-10 02:33:30,29568
2016-07-10 02:34:31,29568
2016-07-10 02:35:32,29568
2016-07-10 02:36:33,29568
2016-07-10 02:37:33,29568
2016-07-10 02:38:33,29568
2016-07-10 02:39:34,29568
2016-07-10 02:40:35,29568
2016-07-10 02:41:35,29568
2016-07-10 02:42:36,29568
2016-07-10 02:43:37,29568
2016-07-10 02:44:37,29568
2016-07-10 02:45:38,29568
2016-07-10 02:46:39,29568
2016-07-10 02:47:39,29568
2016-07-10 02:48:40,29568
2016-07-10 02:49:40,29568
2016-07-10 02:50:41,29568
2016-07-10 02:51:42,29568
2016-07-10 02:52:42,29568
2016-07-10 02:53:43,29568
2016-07-10 02:54:44,29568
2016-07-10 02:55:44,29568
2016-07-10 02:56:45,29568
2016-07-10 02:57:46,29568
2016-07-10 02:58:46,29568
2016-07-10 02:59:47,29568
2016-07-10 03:00:48,29568
2016-07-10 03:01:48,29568
2016-07-10 03:02:49,29568
2016-07-10 03:03:49,29568
2016-07-10 03:04:50,29568
2016-07-10 03:05:51,29568
2016-07-10 03:06:51,29568
2016-07-10 03:07:52,29568
2016-07-10 03:08:53,29568
2016-07-10 03:09:53,29568
2016-07-10 03:10:54,29568
2016-07-10 03:11:55,29568
2016-07-10 03:12:55,29568
2016-07-10 03:13:56,29568
2016-07-10 03:14:56,29568
2016-07-10 03:15:57,29568
2016-07-10 03:16:58,29568
2016-07-10 03:17:58,29568
2016-07-10 03:18:59,29568
2016-07-10 03:20:00,29568
2016-07-10 03:21:00,29568
2016-07-10 03:22:01,29568
2016-07-10 03:23:01,29568
2016-07-10 03:24:02,29568
2016-07-10 03:25:03,29568
2016-07-10 03:26:03,29568
2016-07-10 03:27:04,29568
2016-07-10 03:28:05,29568
2016-07-10 03:29:05,29568
2016-07-10 03:30:06,29568
2016-07-10 03:31:07,29568
2016-07-10 03:32:07,29568
2016-07-10 03:33:08,29568
2016-07-10 03:34:09,29568
2016-07-10 03:35:09,29568
2016-07-10 03:36:10,29568
2016-07-10 03:37:11,29568
2016-07-10 03:38:11,29568
2016-07-10 03:39:13,29568
2016-07-10 03:40:13,29568
2016-07-10 03:41:13,29568
2016-07-10 03:42:14,29568
2016-07-10 03:43:15,29568
2016-07-10 03:44:15,29568
2016-07-10 03:45:16,29568
2016-07-10 03:46:17,29568
2016-07-10 03:47:17,29568
2016-07-10 03:48:20,29568
2016-07-10 03:49:19,29568
2016-07-10 03:50:20,29568
2016-07-10 03:51:20,29568
2016-07-10 03:52:21,29568
2016-07-10 03:53:22,29568
2016-07-10 03:54:22,29568
2016-07-10 03:55:23,29568
2016-07-10 03:56:24,29568
2016-07-10 03:57:24,29568
2016-07-10 03:58:26,29568
2016-07-10 03:59:25,29568
2016-07-10 04:00:26,29568
2016-07-10 04:01:27,29568
2016-07-10 04:02:27,29568
2016-07-10 04:03:28,29568
2016-07-10 04:04:30,29568
2016-07-10 04:05:30,29568
2016-07-10 04:06:31,29568
2016-07-10 04:07:31,29568
2016-07-10 04:08:33,29568
2016-07-10 04:09:33,29568
2016-07-10 04:10:33,29568
2016-07-10 04:11:34,29568
2016-07-10 04:12:35,29568
2016-07-10 04:13:35,29568
2016-07-10 04:14:36,29568
2016-07-10 04:15:36,29568
2016-07-10 04:16:37,29568
2016-07-10 04:17:38,29568
2016-07-10 04:18:38,29568
2016-07-10 04:19:39,29568
2016-07-10 04:20:40,29568
2016-07-10 04:21:40,29568
2016-07-10 04:22:41,29568
2016-07-10 04:23:41,29568
2016-07-10 04:24:42,29568
2016-07-10 04:25:43,29568
2016-07-10 04:26:43,29568
2016-07-10 04:27:44,29568
2016-07-10 04:28:45,29568
2016-07-10 04:29:45,29568
2016-07-10 04:30:46,29568
2016-07-10 04:31:47,29568
2016-07-10 04:32:47,29568
2016-07-10 04:33:48,29568
2016-07-10 04:34:48,29568
2016-07-10 04:35:49,29568
2016-07-10 04:36:50,29568
2016-07-10 04:37:50,29568
2016-07-10 04:38:51,29568
2016-07-10 04:39:52,29568
2016-07-10 04:40:52,29568
2016-07-10 04:41:54,29568
2016-07-10 04:42:54,29568
2016-07-10 04:43:54,29568
2016-07-10 04:44:57,29568
2016-07-10 04:45:56,29568
2016-07-10 04:46:56,29568
2016-07-10 04:47:57,29568
2016-07-10 04:48:58,29568
2016-07-10 04:49:58,29568
2016-07-10 04:50:59,29568
2016-07-10 04:52:00,29568
2016-07-10 04:53:00,29568
2016-07-10 04:54:01,29568
2016-07-10 04:55:01,29568
2016-07-10 04:56:02,29568
2016-07-10 04:57:03,29568
2016-07-10 04:58:03,29568
2016-07-10 04:59:04,29568
2016-07-10 05:00:05,29568
2016-07-10 05:01:05,29568
2016-07-10 05:02:06,29568
2016-07-10 05:03:07,29568
2016-07-10 05:04:07,29568
2016-07-10 05:05:08,29568
2016-07-10 05:06:09,29568
2016-07-10 05:07:09,29568
2016-07-10 05:08:10,29568
2016-07-10 05:09:10,29571
2016-07-10 05:10:11,29571
2016-07-10 05:11:12,29571
2016-07-10 05:12:12,29571
2016-07-10 05:13:13,29571
2016-07-10 05:14:14,29571
2016-07-10 05:15:14,29571
2016-07-10 05:16:15,29571
2016-07-10 05:17:15,29571
2016-07-10 05:18:16,29571
2016-07-10 05:19:17,29571
2016-07-10 05:20:17,29571
2016-07-10 05:21:18,29571
2016-07-10 05:22:19,29571
2016-07-10 05:23:19,29571
2016-07-10 05:24:20,29571
2016-07-10 05:25:20,29571
2016-07-10 05:26:21,29571
2016-07-10 05:27:22,29571
2016-07-10 05:28:22,29571
2016-07-10 05:29:23,29571
2016-07-10 05:30:24,29571
2016-07-10 05:31:24,29571
2016-07-10 05:32:25,29571
2016-07-10 05:33:26,29571
2016-07-10 05:34:26,29571
2016-07-10 05:35:27,29571
2016-07-10 05:36:28,29572
2016-07-10 05:37:28,29572
2016-07-10 05:38:29,29572
2016-07-10 05:39:30,29572
2016-07-10 05:40:30,29572
2016-07-10 05:41:31,29575
2016-07-10 05:42:31,29580
2016-07-10 05:43:32,29584
2016-07-10 05:44:33,29588
2016-07-10 05:45:33,29593
2016-07-10 05:46:34,29597
2016-07-10 05:47:35,29601
2016-07-10 05:48:35,29606
2016-07-10 05:49:36,29610
2016-07-10 05:50:37,29614
2016-07-10 05:51:37,29618
2016-07-10 05:52:38,29623
2016-07-10 05:53:39,29624
2016-07-10 05:54:39,29624
2016-07-10 05:55:40,29624
2016-07-10 05:56:41,29624
2016-07-10 05:57:42,29624
2016-07-10 05:58:42,29624
2016-07-10 05:59:43,29624
2016-07-10 06:00:43,29624
2016-07-10 06:01:44,29624
2016-07-10 06:02:45,29624
2016-07-10 06:03:45,29624
2016-07-10 06:04:46,29624
2016-07-10 06:05:46,29624
2016-07-10 06:06:47,29624
2016-07-10 06:07:48,29624
2016-07-10 06:08:48,29624
2016-07-10 06:09:49,29624
2016-07-10 06:10:50,29625
2016-07-10 06:11:50,29625
2016-07-10 06:12:51,29625
2016-07-10 06:13:51,29625
2016-07-10 06:14:52,29625
2016-07-10 06:15:53,29625
2016-07-10 06:16:54,29625
2016-07-10 06:17:54,29625
2016-07-10 06:18:55,29625
2016-07-10 06:19:55,29625
2016-07-10 06:20:56,29625
2016-07-10 06:21:57,29625
2016-07-10 06:22:57,29625
2016-07-10 06:24:01,29625
2016-07-10 06:25:00,29626
2016-07-10 06:26:01,29626
2016-07-10 06:27:02,29627
2016-07-10 06:28:02,29627
2016-07-10 06:29:03,29627
2016-07-10 06:30:04,29627
2016-07-10 06:31:04,29627
2016-07-10 06:32:05,29627
2016-07-10 06:33:06,29627
2016-07-10 06:34:06,29627
2016-07-10 06:35:07,29627
2016-07-10 06:36:08,29627
2016-07-10 06:37:17,29627
2016-07-10 06:38:17,29627
2016-07-10 06:39:18,29627
2016-07-10 06:40:19,29627
2016-07-10 06:41:19,29627
2016-07-10 06:42:20,29627
2016-07-10 06:43:21,29627
2016-07-10 06:44:21,29627
2016-07-10 06:45:24,29627
2016-07-10 06:46:23,29627
2016-07-10 06:47:26,29627
2016-07-10 06:48:25,29627
2016-07-10 06:49:25,29627
2016-07-10 06:50:26,29627
2016-07-10 06:51:26,29627
2016-07-10 06:52:27,29627
2016-07-10 06:53:28,29627
2016-07-10 06:54:28,29627
2016-07-10 06:55:29,29627
2016-07-10 06:56:29,29627
2016-07-10 06:57:30,29627
2016-07-10 06:58:31,29627
2016-07-10 06:59:31,29627
2016-07-10 07:00:32,29627
2016-07-10 07:01:35,29627
2016-07-10 07:02:35,29627
2016-07-10 07:03:35,29627
2016-07-10 07:04:35,29627
2016-07-10 07:05:36,29627
2016-07-10 07:06:40,29627
2016-07-10 07:07:38,29627
